2017-09-07 14:19:53   mouse movement trajectory: ( 152, 38 )
2017-09-07 14:19:53   mouse movement trajectory: ( 170, 24 )
2017-09-07 14:19:53   mouse movement trajectory: ( 170, 24 )
2017-09-07 14:19:53   mouse movement trajectory: ( 152, 38 )
2017-09-07 14:19:53   mouse movement trajectory: ( 192, 8 )
2017-09-07 14:19:53   mouse movement trajectory: ( 192, 8 )
2017-09-07 14:24:46   mouse movement trajectory: ( 76, 164 )
2017-09-07 14:24:46   mouse movement trajectory: ( 88, 146 )
2017-09-07 14:24:46   mouse movement trajectory: ( 168, 58 )
2017-09-07 14:24:46   mouse movement trajectory: ( 178, 50 )
2017-09-07 14:24:46   mouse movement trajectory: ( 192, 36 )
2017-09-07 14:24:46   mouse movement trajectory: ( 230, 6 )
2017-09-07 14:24:46   mouse movement trajectory: ( 88, 146 )
2017-09-07 14:24:46   mouse movement trajectory: ( 168, 58 )
2017-09-07 14:24:46   mouse movement trajectory: ( 178, 50 )
2017-09-07 14:24:46   mouse movement trajectory: ( 192, 36 )
2017-09-07 14:24:46   mouse movement trajectory: ( 230, 6 )
2017-09-07 14:47:28   mouse movement trajectory: ( 94, 188 )
2017-09-07 14:47:28   mouse movement trajectory: ( 152, 164 )
2017-09-07 14:47:28   mouse movement trajectory: ( 208, 142 )
2017-09-07 14:47:28   mouse movement trajectory: ( 94, 188 )
2017-09-07 14:47:28   mouse movement trajectory: ( 318, 112 )
2017-09-07 14:47:28   mouse movement trajectory: ( 370, 106 )
2017-09-07 14:47:28   mouse movement trajectory: ( 462, 98 )
2017-09-07 14:47:28   mouse movement trajectory: ( 498, 96 )
2017-09-07 14:47:28   mouse movement trajectory: ( 532, 96 )
2017-09-07 14:47:28   mouse movement trajectory: ( 554, 98 )
2017-09-07 14:47:28   mouse movement trajectory: ( 560, 100 )
2017-09-07 14:47:29   mouse movement trajectory: ( 568, 104 )
2017-09-07 14:47:29   mouse movement trajectory: ( 572, 108 )
2017-09-07 14:47:29   mouse movement trajectory: ( 572, 110 )
2017-09-07 14:47:29   mouse movement trajectory: ( 572, 114 )
2017-09-07 14:47:29   mouse movement trajectory: ( 554, 136 )
2017-09-07 14:47:29   mouse movement trajectory: ( 364, 178 )
2017-09-07 14:47:29   mouse movement trajectory: ( 310, 160 )
2017-09-07 14:47:29   mouse movement trajectory: ( 152, 164 )
2017-09-07 14:47:29   mouse movement trajectory: ( 208, 142 )
2017-09-07 14:47:29   mouse movement trajectory: ( 254, 130 )
2017-09-07 14:47:29   mouse movement trajectory: ( 234, 116 )
2017-09-07 14:47:29   mouse movement trajectory: ( 318, 112 )
2017-09-07 14:47:29   mouse movement trajectory: ( 224, 108 )
2017-09-07 14:47:29   mouse movement trajectory: ( 224, 108 )
2017-09-07 14:47:29   mouse movement trajectory: ( 370, 106 )
2017-09-07 14:47:29   mouse movement trajectory: ( 218, 102 )
2017-09-07 14:47:29   mouse movement trajectory: ( 210, 98 )
2017-09-07 14:47:29   mouse movement trajectory: ( 206, 96 )
2017-09-07 14:47:30   mouse movement trajectory: ( 204, 96 )
2017-09-07 14:47:30   mouse movement trajectory: ( 200, 100 )
2017-09-07 14:47:30   mouse movement trajectory: ( 180, 152 )
2017-09-07 14:47:30   mouse movement trajectory: ( 172, 248 )
2017-09-07 14:47:30   mouse movement trajectory: ( 172, 266 )
2017-09-07 14:47:30   mouse movement trajectory: ( 172, 280 )
2017-09-07 14:47:30   mouse movement trajectory: ( 172, 296 )
2017-09-07 14:47:30   mouse movement trajectory: ( 172, 302 )
2017-09-07 14:47:30   mouse movement trajectory: ( 174, 306 )
2017-09-07 14:47:30   mouse movement trajectory: ( 174, 308 )
2017-09-07 14:47:30   mouse movement trajectory: ( 462, 98 )
2017-09-07 14:47:30   mouse movement trajectory: ( 174, 310 )
2017-09-07 14:47:30   mouse movement trajectory: ( 498, 96 )
2017-09-07 14:47:30   mouse movement trajectory: ( 532, 96 )
2017-09-07 14:47:30   mouse movement trajectory: ( 554, 98 )
2017-09-07 14:47:30   mouse movement trajectory: ( 176, 310 )
2017-09-07 14:47:30   mouse movement trajectory: ( 560, 100 )
2017-09-07 14:47:30   mouse movement trajectory: ( 568, 104 )
2017-09-07 14:47:31   mouse movement trajectory: ( 176, 312 )
2017-09-07 14:47:31   mouse movement trajectory: ( 174, 316 )
2017-09-07 14:47:31   mouse movement trajectory: ( 168, 320 )
2017-09-07 14:47:31   mouse movement trajectory: ( 156, 330 )
2017-09-07 14:47:31   mouse movement trajectory: ( 144, 336 )
2017-09-07 14:47:31   mouse movement trajectory: ( 142, 336 )
2017-09-07 14:47:31   mouse movement trajectory: ( 138, 332 )
2017-09-07 14:47:31   mouse movement trajectory: ( 136, 314 )
2017-09-07 14:47:31   mouse movement trajectory: ( 136, 298 )
2017-09-07 14:47:31   mouse movement trajectory: ( 136, 294 )
2017-09-07 14:47:31   mouse movement trajectory: ( 572, 108 )
2017-09-07 14:47:31   mouse movement trajectory: ( 572, 110 )
2017-09-07 14:47:31   mouse movement trajectory: ( 572, 114 )
2017-09-07 14:47:31   mouse movement trajectory: ( 136, 292 )
2017-09-07 14:47:31   mouse movement trajectory: ( 554, 136 )
2017-09-07 14:47:31   mouse movement trajectory: ( 364, 178 )
2017-09-07 14:47:32   mouse movement trajectory: ( 138, 292 )
2017-09-07 14:47:32   mouse movement trajectory: ( 144, 294 )
2017-09-07 14:47:32   mouse movement trajectory: ( 146, 296 )
2017-09-07 14:47:32   mouse movement trajectory: ( 148, 298 )
2017-09-07 14:47:32   mouse movement trajectory: ( 148, 300 )
2017-09-07 14:47:32   mouse movement trajectory: ( 146, 300 )
2017-09-07 14:47:32   mouse movement trajectory: ( 142, 300 )
2017-09-07 14:47:32   mouse movement trajectory: ( 132, 294 )
2017-09-07 14:47:32   mouse movement trajectory: ( 128, 294 )
2017-09-07 14:47:32   mouse movement trajectory: ( 126, 290 )
2017-09-07 14:47:32   mouse movement trajectory: ( 310, 160 )
2017-09-07 14:47:32   mouse movement trajectory: ( 124, 288 )
2017-09-07 14:47:32   mouse movement trajectory: ( 152, 164 )
2017-09-07 14:47:32   mouse movement trajectory: ( 208, 142 )
2017-09-07 14:47:32   mouse movement trajectory: ( 254, 130 )
2017-09-07 14:47:32   mouse movement trajectory: ( 234, 116 )
2017-09-07 14:47:32   mouse movement trajectory: ( 318, 112 )
2017-09-07 14:47:33   mouse movement trajectory: ( 126, 288 )
2017-09-07 14:47:33   mouse movement trajectory: ( 128, 288 )
2017-09-07 14:47:33   mouse movement trajectory: ( 128, 290 )
2017-09-07 14:47:33   mouse movement trajectory: ( 130, 290 )
2017-09-07 14:47:33   mouse movement trajectory: ( 132, 290 )
2017-09-07 14:47:33   mouse movement trajectory: ( 132, 292 )
2017-09-07 14:47:33   mouse movement trajectory: ( 140, 296 )
2017-09-07 14:47:33   mouse movement trajectory: ( 156, 302 )
2017-09-07 14:47:33   mouse movement trajectory: ( 224, 108 )
